Sno,Branches,CurrentDep,SavingsDep,CASA,TermDep,AggregateDep,RetailCredit,Agriculture,BusinessCredit,AggregateCredit,AggregateBusiness,DATE
1,BRANCH-1,299,2026,2325,2956,5281,1260,925,829,3014,8295,16-12-22
2,BRANCH-2,292,2096,2388,2948,5336,1284,960,881,3125,8461,16-12-22
3,BRANCH-3,289,1953,2242,2940,5182,1260,830,999,3089,8271,16-12-22
4,BRANCH-4,287,1932,2219,2998,5217,1291,1000,823,3114,8331,16-12-22
5,BRANCH-5,292,1969,2261,2909,5170,1252,908,841,3001,8171,16-12-22
6,BRANCH-6,285,1941,2226,2903,5129,1300,928,950,3178,8307,16-12-22
7,BRANCH-7,293,2015,2308,2923,5231,1283,878,912,3073,8304,16-12-22
8,BRANCH-8,298,2033,2331,2982,5313,1219,946,914,3079,8392,16-12-22
9,BRANCH-9,281,1930,2211,2931,5142,1308,946,956,3210,8352,16-12-22
10,BRANCH-10,300,1935,2235,2929,5164,1336,808,806,2950,8114,16-12-22
11,BRANCH-11,299,1921,2220,2995,5215,1259,939,816,3014,8229,16-12-22
12,BRANCH-12,295,2114,2409,2949,5358,1259,848,908,3015,8373,16-12-22
13,BRANCH-13,280,1965,2245,2972,5217,1206,811,863,2880,8097,16-12-22
14,BRANCH-14,289,1979,2268,2943,5211,1333,924,841,3098,8309,16-12-22
15,BRANCH-15,287,2090,2377,2952,5329,1294,834,958,3086,8415,16-12-22
16,BRANCH-16,296,2009,2305,2984,5289,1292,809,805,2906,8195,16-12-22
17,BRANCH-17,285,2082,2367,2920,5287,1325,803,980,3108,8395,16-12-22
18,BRANCH-18,290,2116,2406,2944,5350,1360,978,814,3152,8502,16-12-22
19,BRANCH-19,296,1946,2242,2992,5234,1313,925,945,3183,8417,16-12-22
20,BRANCH-20,288,2049,2337,2913,5250,1331,905,939,3175,8425,16-12-22
21,BRANCH-21,280,2119,2399,2995,5394,1259,933,847,3039,8433,16-12-22
22,BRANCH-22,288,2085,2373,2919,5292,1209,949,810,2968,8260,16-12-22
23,BRANCH-23,285,2093,2378,2955,5333,1360,894,972,3226,8559,16-12-22
24,BRANCH-24,293,1983,2276,2923,5199,1382,991,937,3310,8509,16-12-22
25,BRANCH-25,297,2081,2378,2949,5327,1207,817,918,2942,8269,16-12-22
26,BRANCH-26,287,2001,2288,2991,5279,1220,944,989,3153,8432,16-12-22
27,BRANCH-27,299,1962,2261,2951,5212,1301,823,854,2978,8190,16-12-22
28,BRANCH-28,297,2061,2358,2900,5258,1291,938,865,3094,8352,16-12-22
29,BRANCH-29,287,1924,2211,2957,5168,1269,971,974,3214,8382,16-12-22
30,BRANCH-30,280,1995,2275,2985,5260,1318,874,947,3139,8399,16-12-22
31,BRANCH-31,293,2085,2378,2910,5288,1342,922,903,3167,8455,16-12-22
32,BRANCH-32,292,2062,2354,2921,5275,1359,822,999,3180,8455,16-12-22
33,BRANCH-33,294,1992,2286,2923,5209,1288,828,903,3019,8228,16-12-22
34,BRANCH-34,289,2022,2311,2950,5261,1330,801,889,3020,8281,16-12-22
35,BRANCH-35,293,2095,2388,2953,5341,1271,823,939,3033,8374,16-12-22
36,BRANCH-36,298,2059,2357,2924,5281,1386,882,801,3069,8350,16-12-22
37,BRANCH-37,292,2011,2303,2990,5293,1317,933,950,3200,8493,16-12-22
38,BRANCH-38,287,2078,2365,2978,5343,1253,929,870,3052,8395,16-12-22
39,BRANCH-39,281,2040,2321,2920,5241,1286,908,802,2996,8237,16-12-22
40,BRANCH-40,293,2099,2392,2989,5381,1359,966,803,3128,8509,16-12-22
41,BRANCH-41,297,2087,2384,2996,5380,1253,988,914,3155,8535,16-12-22
42,BRANCH-42,297,2002,2299,3000,5299,1398,875,949,3222,8521,16-12-22
43,BRANCH-43,295,2075,2370,2932,5302,1312,962,813,3087,8389,16-12-22
44,BRANCH-44,295,2039,2334,2967,5301,1317,895,914,3126,8427,16-12-22
45,BRANCH-45,289,2025,2314,3000,5314,1308,808,801,2917,8231,16-12-22
46,BRANCH-46,298,2110,2408,2925,5333,1282,813,918,3013,8346,16-12-22
47,BRANCH-47,296,1927,2223,2950,5173,1261,869,826,2956,8129,16-12-22
48,BRANCH-48,280,2095,2375,2934,5309,1361,924,852,3137,8446,16-12-22
49,BRANCH-49,297,1925,2222,2954,5176,1389,906,907,3202,8378,16-12-22
50,BRANCH-50,291,1950,2241,2932,5173,1336,852,988,3176,8349,16-12-22
51,BRANCH-51,298,2002,2300,2985,5285,1292,846,1000,3138,8423,16-12-22
52,BRANCH-52,296,1936,2232,2948,5180,1399,961,976,3336,8516,16-12-22
53,BRANCH-53,287,2093,2380,2971,5351,1387,906,806,3099,8450,16-12-22
54,BRANCH-54,282,2049,2331,2965,5296,1256,820,995,3071,8367,16-12-22
55,BRANCH-55,297,2080,2377,2976,5353,1382,843,901,3126,8479,16-12-22
56,BRANCH-56,292,2089,2381,2946,5327,1333,845,848,3026,8353,16-12-22
57,BRANCH-57,284,2051,2335,2936,5271,1306,919,950,3175,8446,16-12-22
58,BRANCH-58,292,1943,2235,2919,5154,1290,828,901,3019,8173,16-12-22
59,BRANCH-59,281,1951,2232,2940,5172,1364,908,860,3132,8304,16-12-22
60,BRANCH-60,286,1926,2212,2926,5138,1371,888,834,3093,8231,16-12-22
61,BRANCH-61,286,2002,2288,2946,5234,1283,910,858,3051,8285,16-12-22
62,BRANCH-62,288,1973,2261,2930,5191,1383,809,853,3045,8236,16-12-22
63,BRANCH-63,282,2067,2349,2976,5325,1203,922,909,3034,8359,16-12-22
64,BRANCH-64,291,2012,2303,2988,5291,1263,913,872,3048,8339,16-12-22
65,BRANCH-65,289,1921,2210,2937,5147,1317,981,990,3288,8435,16-12-22
66,BRANCH-66,299,1983,2282,2912,5194,1309,834,939,3082,8276,16-12-22
67,BRANCH-67,298,2010,2308,2993,5301,1209,899,854,2962,8263,16-12-22
68,BRANCH-68,291,1981,2272,2946,5218,1217,910,847,2974,8192,16-12-22
69,BRANCH-69,298,2099,2397,2905,5302,1349,965,952,3266,8568,16-12-22
70,BRANCH-70,291,1965,2256,2922,5178,1351,963,803,3117,8295,16-12-22
71,BRANCH-71,286,1988,2274,2975,5249,1293,854,892,3039,8288,16-12-22
72,BRANCH-72,300,2016,2316,2984,5300,1303,973,959,3235,8535,16-12-22
73,BRANCH-73,296,2080,2376,2958,5334,1311,922,877,3110,8444,16-12-22
74,BRANCH-74,285,1935,2220,2962,5182,1336,967,914,3217,8399,16-12-22
75,BRANCH-75,290,1940,2230,2946,5176,1290,977,930,3197,8373,16-12-22
76,BRANCH-76,281,1941,2222,2996,5218,1256,975,924,3155,8373,16-12-22
77,BRANCH-77,295,2068,2363,2910,5273,1225,897,906,3028,8301,16-12-22
78,BRANCH-78,284,2111,2395,2981,5376,1335,918,934,3187,8563,16-12-22
79,BRANCH-79,282,2044,2326,2997,5323,1377,858,871,3106,8429,16-12-22
80,BRANCH-80,281,1941,2222,2954,5176,1308,908,860,3076,8252,16-12-22
81,BRANCH-81,296,2021,2317,2947,5264,1249,978,900,3127,8391,16-12-22
82,BRANCH-82,289,2046,2335,2907,5242,1382,969,868,3219,8461,16-12-22
83,BRANCH-83,284,2116,2400,2990,5390,1317,853,852,3022,8412,16-12-22
84,BRANCH-84,290,2063,2353,2916,5269,1372,937,918,3227,8496,16-12-22
85,BRANCH-85,299,2071,2370,2920,5290,1311,899,899,3109,8399,16-12-22
86,BRANCH-86,293,1920,2213,2933,5146,1324,934,921,3179,8325,16-12-22
87,BRANCH-87,292,2090,2382,2945,5327,1214,817,993,3024,8351,16-12-22
88,BRANCH-88,288,2006,2294,2969,5263,1376,951,957,3284,8547,16-12-22
89,BRANCH-89,299,2011,2310,2998,5308,1287,863,860,3010,8318,16-12-22
90,BRANCH-90,292,1986,2278,2936,5214,1323,846,800,2969,8183,16-12-22
91,BRANCH-91,285,2024,2309,2929,5238,1391,941,971,3303,8541,16-12-22
92,BRANCH-92,300,2025,2325,2967,5292,1343,860,993,3196,8488,16-12-22
93,BRANCH-93,284,1942,2226,2929,5155,1236,980,974,3190,8345,16-12-22
94,BRANCH-94,299,2095,2394,2973,5367,1227,1000,969,3196,8563,16-12-22
95,BRANCH-95,291,1965,2256,2996,5252,1229,855,918,3002,8254,16-12-22
96,BRANCH-96,290,1980,2270,2960,5230,1357,822,894,3073,8303,16-12-22
97,BRANCH-97,282,2109,2391,2938,5329,1344,843,928,3115,8444,16-12-22
98,BRANCH-98,281,2061,2342,2963,5305,1279,978,889,3146,8451,16-12-22
99,BRANCH-99,300,2099,2399,2989,5388,1267,978,977,3222,8610,16-12-22
100,BRANCH-100,293,2004,2297,2909,5206,1397,903,912,3212,8418,16-12-22
